epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.446,1.13499,3.47309,1.06343,0.00883,0.36386,0.30254,0.2095,0.65603,3.55454,0.92958,8.574e-05,8.574e-05,8.574e-05
2,177.483,0.79243,2.32683,0.96219,0.00948,0.40812,0.32236,0.24187,0.59155,3.26395,0.86241,0.000148988,0.000148988,0.000148988
3,259.426,0.70375,1.25838,0.90992,1,0.15494,0.33309,0.2411,0.67445,3.01033,0.87313,0.000172623,0.000172623,0.000172623
4,380.367,0.57456,0.95931,0.87866,1,0.17987,0.33378,0.28559,0.53025,2.85451,0.84315,0.000156647,0.000156647,0.000156647
5,455.778,0.53713,0.94343,0.86663,1,0.25147,0.51197,0.46151,0.50928,2.73556,0.83839,0.000101059,0.000101059,0.000101059
